2,2,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,
6,5,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,
8,5,,,,,,,,,,,,,,,
9,5,,,,,,,,,,,,,,,
10,7,,,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,9598,4801,
12,7,,,,,,,,,,,,,4282,2143,
13,13,,,,,,,,,,,,,5316,2658,0.5
14,5,,,,,,,,,,,,,,,
15,5,,,,,,,,,,,,,,,
16,5,,,,,,,,,,,,,9892,2477,
17,17,,,,,,,,,,,,,9748,2441,
18,5,,,,,,,,,,,,,144,36,0.25
19,19,,,,,,,,,,,,,,,2473
20,5,,,,,,,,,,,,,,,
21,7,,,,,,,,,,,,,9993,1669,
22,13,,,,,,,,,,,,,8913,1489,
23,23,,,,,,,,,,,,,1080,180, 1/6
24,5,,,,,,,,,,,,,,,180    
25,7,,,,,,,,,,,,,,,
26,5,,,,,,,,,,,,,,,
27,5,,,,,,,,,,,,,,,
28,11,,,,,,,,,,,,,,,
29,29,,,,,,,,,,,,,,,
30,7,,,,,,,,,,,,,,,
31,31,,,,,,,,,,,,,,,
32,7,,,,,,,,,,,,,,,
33,5,,,,,,,,,,,,,,,
34,19,,,,,,,,,,,,,,,
35,7,,,,,,,,,,,,,,,
36,7,,,,,,,,,,,,,,,
37,37,,,,,,,,,,,,,,,
38,7,,,,,,,,,,,,,,,
39,5,,,,,,,,,,,,,,,
40,11,,,,,,,,,,,,,,,
41,41,,,,,,,,,,,,,,,
42,7,,,,,,,,,,,,,,,
43,43,,,,,,,,,,,,,,,
44,5,,,,,,,,,,,,,,,
45,11,,,,,,,,,,,,,,,
46,7,,,,,,,,,,,,,,,
47,47,,,,,,,,,,,,,,,
48,11,,,,,,,,,,,,,,,
49,5,,,,,,,,,,,,,,,
50,7,,,,,,,,,,,,,,,
51,5,,,,,,,,,,,,,,,
52,17,,,,,,,,,,,,,,,
53,53,,,,,,,,,,,,,,,
54,11,,,,,,,,,,,,,,,
55,5,,,,,,,,,,,,,,,
56,13,,,,,,,,,,,,,,,
57,13,,,,,,,,,,,,,,,
58,31,,,,,,,,,,,,,,,
